"lwage","nwifeinc","exper","expersq","city","fatheduc","motheduc","huseduc","educ","age","kidslt6","kidsge6"
1.2101536989212,10.910059928894,14,196,0,7,12,12,12,32,1,0
0.328512102365494,19.4999809265137,5,25,1,7,7,9,12,30,0,2
1.51413774490356,12.0399103164673,15,225,0,7,12,12,12,35,1,3
0.0921233221888542,6.79999589920044,6,36,0,7,7,10,12,34,0,3
1.52427220344543,20.1000576019287,7,49,1,14,12,12,14,31,1,2
1.55648005008698,9.85905361175537,33,1089,1,7,14,11,12,54,0,0
2.12025952339172,9.15204811096191,11,121,0,7,14,12,16,37,0,2
2.0596342086792,10.9000377655029,35,1225,0,3,3,8,12,54,0,0
0.754336357116699,17.3050003051758,24,576,0,7,7,4,12,48,0,2
1.54489934444427,12.9250001907349,21,441,0,7,7,12,12,39,0,2
1.4019216299057,24.2999534606934,15,225,0,3,12,12,12,33,0,1
1.52427220344543,19.7000713348389,14,196,0,7,14,14,11,42,0,1
0.733953237533569,15.0000076293945,0,0,0,16,16,16,12,30,1,2
0.818369090557098,14.6000003814697,14,196,1,10,10,12,12,43,0,2
1.30283117294312,24.6309146881104,6,36,1,7,7,17,10,43,0,1
0.298028379678726,17.53102684021,9,81,1,10,16,12,11,35,0,3
1.16760957241058,14.0999803543091,20,400,1,7,10,12,12,43,0,2
1.64383935928345,15.83899974823,6,36,1,12,12,12,12,39,0,5
0.6931471824646,14.1000003814697,23,529,1,7,7,11,12,45,0,0
2.02193164825439,10.2999610900879,9,81,0,7,12,10,12,35,0,4
1.25424754619598,22.6549816131592,5,25,0,16,10,16,16,42,0,2
1.27295768260956,8.09004783630371,11,121,0,10,12,12,12,30,0,0
1.1786550283432,17.4790000915527,18,324,1,3,7,17,13,48,0,0
1.1786550283432,9.5600004196167,15,225,0,7,7,17,12,45,0,0
0.767558693885803,8.27495288848877,4,16,1,7,12,12,12,31,1,1
1.33181178569794,27.3499851226807,21,441,1,14,16,17,17,43,0,2
1.3862943649292,16,31,961,1,7,3,16,12,59,0,0
1.55326962471008,16.9999828338623,9,81,1,7,3,13,12,32,0,3
1.98181486129761,15.1000556945801,7,49,0,12,12,17,17,31,1,0
1.76936042308807,15.6999835968018,7,49,0,12,12,10,12,42,0,0
0.430807888507843,5.11895990371704,32,1024,1,7,7,10,11,50,0,0
0.899754822254181,16.7500114440918,11,121,1,3,3,17,16,59,0,0
1.76662969589233,13.5999317169189,16,256,0,10,12,13,13,36,0,2
1.27295768260956,17.1000480651855,14,196,1,14,7,8,12,51,0,1
1.33678889274597,16.7340488433838,27,729,1,12,12,17,16,45,0,3
0.901704847812653,14.1969776153564,0,0,0,3,10,8,11,42,0,1
0.865123689174652,10.3199872970581,17,289,1,3,3,16,12,46,0,0
1.51184713840485,11.3841047286987,28,784,0,3,10,12,10,46,0,1
1.72602915763855,14.5940780639648,24,576,0,7,7,12,14,51,0,0
2.68314242362976,17.5004386901855,11,121,1,17,14,17,17,30,0,0
0.985294282436371,15.5099964141846,1,1,0,12,12,16,12,30,1,2
1.36593854427338,21.9999752044678,14,196,1,9,9,12,12,57,0,0
0.945033669471741,22.5,6,36,1,16,14,16,16,31,1,2
1.51237618923187,19.9939994812012,10,100,0,3,3,8,12,48,0,2
0.6931471824646,14.1300001144409,6,36,0,7,12,12,12,30,0,3
1.24478840827942,5.00001287460327,4,16,0,7,12,12,12,34,0,2
0.701164901256561,21.1548976898193,10,100,1,16,14,16,16,48,0,2
1.5198632478714,7.14194583892822,22,484,0,10,10,11,12,45,0,0
0.820968568325043,16.6500720977783,16,256,0,7,7,13,12,51,0,0
0.969831526279449,6.35199975967407,6,36,0,7,12,12,12,30,0,2
0.828508198261261,27.3139476776123,12,144,1,7,7,12,12,46,0,1
0.0943096429109573,14.5000038146973,32,1024,1,3,7,12,12,58,0,0
0.162543892860413,16.2579898834229,15,225,0,7,12,10,12,37,0,8
0.470003634691238,9.5,17,289,1,7,7,11,8,52,0,0
0.629248440265656,7.99995613098145,34,1156,0,3,7,4,10,52,0,0
1.39716017246246,12.5000286102295,9,81,1,12,12,14,16,31,0,0
2.26544380187988,14.0000324249268,37,1369,1,7,7,15,14,55,0,0
2.0845410823822,20.8000736236572,10,100,1,17,17,17,17,34,0,0
1.52583885192871,19.3851127624512,35,1225,1,7,17,16,14,55,0,0
0.762160062789917,12.3869915008545,6,36,1,7,12,12,12,39,0,2
1.48160457611084,28.5,19,361,0,3,14,13,14,40,0,3
1.26282644271851,15.0499086380005,10,100,1,12,12,12,12,43,0,4
0.999675571918488,10.4999837875366,11,121,1,7,7,8,8,48,0,0
1.83258152008057,11.8100004196167,15,225,1,7,7,12,12,47,0,0
2.47930765151978,6.9500732421875,12,144,1,7,7,12,12,41,0,4
1.27901530265808,12.4199714660645,12,144,0,12,12,12,8,36,0,0
1.93793559074402,17.4000034332275,14,196,0,16,12,17,17,46,0,2
1.0704528093338,15.4999961853027,11,121,1,7,12,8,12,34,0,0
1.12392258644104,21.2170429229736,9,81,1,7,7,8,12,41,0,3
1.32175588607788,18,24,576,0,7,12,10,12,51,0,1
1.74499976634979,11.8999185562134,12,144,1,12,12,16,12,33,0,0
1.30174362659454,26.7519550323486,13,169,1,10,10,12,12,52,0,0
1.64186644554138,12.1499614715576,29,841,1,9,7,7,9,58,0,0
2.10702013969421,10.199990272522,11,121,1,0,0,9,10,34,2,4
1.46706759929657,8.12001514434814,13,169,1,10,7,12,12,31,0,1
1.60581135749817,10.6599645614624,19,361,1,14,12,12,12,48,0,1
-1.02973937988281,18.1000099182129,2,4,0,7,7,12,12,32,0,2
1.08768618106842,8.59998607635498,24,576,1,3,3,17,17,49,0,0
0,13.664999961853,9,81,1,12,10,14,15,32,2,2
0.938208699226379,32.3499603271484,6,36,1,12,7,16,12,58,0,0
-0.150590375065804,12.0850057601929,22,484,1,7,12,12,6,50,0,0
0,12.1499996185303,30,900,0,17,12,12,14,60,0,0
1.07367050647736,17.6950206756592,10,100,1,3,7,11,12,50,0,1
1.26584839820862,24.7000007629395,6,36,1,7,7,17,14,56,0,0
0.486368983983994,2.13399195671082,29,841,0,7,7,8,9,51,0,0
2.12025952339172,20.9500484466553,29,841,1,12,7,17,17,54,0,1
1.12985253334045,10.5000801086426,36,1296,1,7,7,15,13,59,0,0
0.993251800537109,10.5500001907349,19,361,1,7,7,10,9,46,0,2
1.65862798690796,45.75,8,64,1,12,7,16,15,46,0,1
0.347412198781967,13.6320400238037,13,169,0,10,10,8,12,39,1,3
1.56832420825958,18.2389392852783,16,256,1,0,7,14,12,44,0,2
0.510845601558685,17.0899963378906,11,121,1,12,12,12,12,33,2,0
0.114845432341099,30.234899520874,15,225,1,10,10,17,12,33,1,2
-0.6931471824646,28.7000007629395,6,36,1,7,12,12,12,48,0,2
-0.336452275514603,19.6299953460693,13,169,0,7,7,17,12,31,0,4
1.02822554111481,12.8249425888062,22,484,0,7,7,12,12,45,0,1
1.58068859577179,23.7999992370605,24,576,1,3,7,10,12,45,0,1
0.555894613265991,26.3000259399414,2,4,1,12,14,17,13,32,0,2
0.901420712471008,20.6999073028564,6,36,0,7,7,17,12,47,0,0
0.884304583072662,26.0000038146973,2,4,0,12,12,13,13,34,0,2
0.428204596042633,10.8770208358765,2,4,1,7,12,10,12,37,0,1
1.05841505527496,25.6120624542236,14,196,0,7,7,12,12,36,0,1
0.87833958864212,20.9889945983887,9,81,1,10,7,14,12,47,1,2
1.65490829944611,70.7499313354492,11,121,1,14,14,17,16,48,0,1
1.32175588607788,17.0499992370605,9,81,0,7,12,12,12,42,0,2
0.328512102365494,20.9999961853027,6,36,1,12,10,14,13,33,0,3
1.3862943649292,8.11999988555908,19,361,0,7,7,8,11,46,0,0
1.17288458347321,20.8859901428223,26,676,0,7,7,13,12,47,0,3
1.22418713569641,17.6689186096191,19,361,1,10,7,10,12,44,0,1
0.287657082080841,25.2000293731689,3,9,1,7,7,17,12,36,0,4
2.23026180267334,14.245005607605,7,49,1,12,12,16,17,31,2,0
1.50407743453979,14.3000001907349,28,784,1,7,7,14,14,55,0,0
1.53115200996399,23.7000102996826,13,169,1,7,12,16,16,45,0,1
1.37515759468079,45.9999961853027,9,81,1,17,10,17,17,47,0,0
1.76026880741119,42.9999046325684,15,225,1,7,10,12,12,46,0,3
-0.6931471824646,14.7489995956421,20,400,1,7,7,9,11,49,0,0
1.40648913383484,16.1500549316406,29,841,1,7,7,14,12,49,0,0
1.7917594909668,17.7740001678467,9,81,1,10,7,6,12,45,0,2
1.29929208755493,91,1,1,1,10,12,13,17,38,1,3
1.35100388526917,22.299934387207,8,64,1,12,7,12,10,47,0,0
1.01628088951111,34.6000137329102,19,361,1,7,7,16,13,54,0,3
1.0753436088562,9.62000179290771,23,529,0,12,12,12,11,41,0,0
1.47896468639374,10.8999462127686,3,9,0,7,14,14,12,43,0,2
1.68948674201965,14.4999437332153,13,169,0,10,12,12,16,31,1,1
2.28859782218933,22.0000152587891,8,64,1,7,7,12,17,47,0,0
-1.82263112068176,17.9000797271729,17,289,0,10,10,12,12,35,0,2
-0.960765182971954,23.6750621795654,4,16,1,7,7,17,16,45,0,3
1.29099416732788,11.7999601364136,15,225,0,7,7,12,12,33,1,0
0.864871144294739,16.1419544219971,11,121,0,7,12,12,16,54,0,1
1.54045212268829,18.3999710083008,7,49,0,7,10,12,8,35,0,4
0.616212129592896,15.4999475479126,0,0,0,7,7,10,12,31,1,2
1.64865863323212,17.3239994049072,0,0,0,7,7,12,12,55,0,0
1.19349813461304,19.2050037384033,10,100,1,16,12,12,12,34,0,2
2.14397621154785,21.3000621795654,8,64,1,12,10,12,13,38,0,1
0.724403560161591,23.5599956512451,2,4,1,7,7,10,11,45,0,1
0.941607534885406,20.8500003814697,4,16,1,3,12,10,12,47,0,1
0.782759368419647,26.1499996185303,6,36,1,7,7,11,12,39,0,2
1.83258152008057,17,18,324,1,7,7,13,14,36,1,0
1.20396280288696,20.7200031280518,3,9,1,7,7,14,12,33,1,2
1.49164485931396,17.0000896453857,22,484,1,12,7,13,12,50,0,0
1.89213263988495,15.9999980926514,33,1089,1,7,3,14,12,58,0,0
2.13089489936829,19.5000495910645,28,784,1,12,12,13,17,49,0,0
1.48060405254364,12.0000038146973,23,529,1,12,16,17,14,41,0,2
0.894331336021423,13.7319116592407,27,729,0,14,7,8,12,51,0,1
0.202532544732094,27.1999912261963,11,121,1,7,3,10,9,53,0,0
0.485507816076279,5.31500005722046,6,36,1,7,12,7,12,36,1,2
1.0986123085022,16,11,121,1,7,7,12,12,46,0,2
1.55326962471008,27.8719825744629,14,196,1,12,12,12,12,36,0,2
0.121597968041897,40.0000114440918,17,289,1,12,12,16,14,53,0,1
2.00180435180664,15.9000339508057,17,289,1,14,16,16,16,40,0,3
1.49503660202026,27.4999694824219,14,196,0,10,12,16,17,42,0,2
0.905229806900024,17.0200500488281,11,121,1,12,12,16,15,33,1,1
0.632547557353973,22.3949394226074,7,49,1,7,7,14,12,43,0,3
1.3862943649292,11.1000003814697,8,64,1,16,14,16,16,31,1,0
2.10291385650635,32.7000122070312,6,36,1,7,7,16,17,47,0,0
1.95964395999908,27.7999610900879,8,64,1,17,10,17,17,54,0,0
0.510845601558685,2.19999408721924,4,16,0,3,7,11,12,33,1,3
1.23692393302917,19.7209510803223,25,625,1,10,14,14,16,43,0,0
1.44331252574921,9.99998760223389,24,576,0,9,7,13,13,46,0,1
1.02165925502777,13.1999683380127,11,121,1,7,7,9,12,35,0,3
0.63615345954895,12.7089748382568,19,361,1,3,12,12,11,37,0,3
1.61645328998566,27.3000469207764,9,81,1,16,12,17,16,37,0,2
0.223143547773361,21.2000007629395,19,361,1,12,17,14,14,34,0,3
1.04980707168579,14.4000043869019,14,196,0,7,7,17,16,43,1,0
1.41505193710327,20.5759601593018,22,484,1,7,7,12,12,46,0,0
0.575376629829407,12.4999904632568,6,36,1,7,3,12,9,35,0,3
2.60668158531189,17.5002155303955,23,529,1,12,12,17,17,46,0,0
1.51791453361511,44.0000381469727,15,225,1,3,7,16,14,46,0,0
0.755041599273682,13.1189546585083,6,36,1,7,7,10,12,43,0,2
1.09497237205505,14.0000562667847,11,121,0,7,7,12,12,30,0,0
0.942114353179932,9.64508628845215,2,4,0,7,3,9,11,41,0,2
1.72494280338287,17.397045135498,22,484,1,7,7,15,12,54,0,1
1.03154611587524,7.79988861083984,10,100,1,10,10,9,12,31,0,1
0.474369078874588,13.1339769363403,14,196,1,10,10,11,10,44,0,0
0.810930192470551,25.6000003814697,12,144,1,7,12,16,12,32,0,1
0.709266602993011,13.9000253677368,9,81,1,12,7,5,5,47,0,0
1.71054947376251,19.2979431152344,13,169,0,17,14,17,17,46,0,1
0.460268884897232,9.20001602172852,18,324,0,10,10,8,11,37,0,0
1.33181178569794,37.9999885559082,8,64,0,7,7,11,12,51,0,2
1.0986123085022,44,11,121,1,7,7,12,12,49,0,1
2.15799856185913,21.3720245361328,9,81,1,12,10,13,14,36,0,4
1.43758130073547,23.6680202484131,9,81,1,7,12,12,11,39,0,1
1.54489934444427,9,14,196,1,12,12,8,12,48,0,2
1.41059672832489,25.199951171875,9,81,1,7,7,17,14,38,0,2
3.21887588500977,21.2199993133545,2,4,1,7,7,12,12,40,0,2
0.968161880970001,33.969913482666,12,144,0,7,7,17,10,39,1,5
1.7917594909668,17.0699996948242,15,225,1,7,12,17,16,37,0,0
1.68872952461243,6.01602363586426,11,121,1,14,7,12,13,49,0,1
-0.409171968698502,17.1000099182129,7,49,0,7,12,17,12,33,0,3
0.223143547773361,8.23700046539307,9,81,1,12,12,16,12,30,0,0
0.822155833244324,13.3000822067261,19,361,0,7,12,8,12,54,0,0
1.24170196056366,16.000020980835,11,121,0,7,10,12,11,39,0,4
1.42712438106537,12.5399904251099,8,64,1,12,12,12,12,43,0,3
1.49709749221802,18.0000381469727,13,169,1,3,10,12,9,31,0,3
0.559615790843964,31.2000007629395,4,16,1,7,12,14,13,33,0,3
1.30002820491791,20.7499103546143,7,49,1,12,12,14,12,40,0,3
1.88442981243134,11.0999202728271,19,361,0,12,12,9,12,36,0,1
0.955511391162872,20.6800003051758,14,196,1,7,7,12,12,51,0,0
1.58208727836609,18.0000095367432,14,196,1,7,12,12,13,44,0,1
1.7556140422821,32.4300651550293,3,9,1,14,12,14,16,42,0,3
1.51310324668884,32.900032043457,9,81,1,12,12,8,12,40,0,1
2.25189161300659,24.1000061035156,7,49,1,17,12,16,16,34,1,1
2.3644323348999,17.8003921508789,7,49,1,17,16,16,17,30,0,0
0.105350479483604,20.5000171661377,14,196,0,7,7,12,12,54,0,0
1.39972877502441,10.4998979568481,29,841,0,7,16,12,12,51,0,0
0.988462507724762,10.4370346069336,19,361,0,10,7,11,9,44,0,2
1.09064733982086,18.1949901580811,14,196,1,7,7,9,12,43,0,1
1.15461444854736,12.8450765609741,16,256,0,7,10,8,12,34,0,1
1.26694762706757,13.8000001907349,10,100,1,7,12,12,13,45,0,0
2.88519167900085,22.1999950408936,12,144,0,3,10,7,12,39,0,0
1.22888004779816,6.69994115829468,24,576,1,0,0,10,12,50,0,0
1.20396280288696,6.25001573562622,6,36,0,7,7,12,12,52,0,0
1.35738027095795,15.6000080108643,9,81,1,12,12,12,12,41,0,2
